Label;Object ID;Total Intensity CSU 561;Mean Intensity CSU 561;Total Intensity CSU 488;Mean Intensity CSU 488;Total Intensity CSU 405;Mean Intensity CSU 405;Area;Parent Object ID (MO);Parent Trace ID;cell cycle
nucleus;39;1218438;84.320.972;2302999;15.937.709;3729942;25.812.747;1445;47;-1;G2
nucleus;40;618824;8.654.881;1074270;15.024.755;1708607;23.896.602;715;47;-1;G2
nucleus;49;26242518;15.620.547;830844;49.454.999;3553084;21.149.309;1680;59;-1;G1
nucleus;50;1375343;51.472.418;3123572;11.690.015;7169822;26.833.167;2672;59;-1;G2
nucleus;57;2498555;16.266.635;229999;14.973.894;3653036;23.782.786;1536;69;-1;G1
nucleus;58;1451834;73.772.052;5498456;27.939.309;6265431;31.836.541;1968;69;-1;G2
nucleus;69;2722163;15.608.733;257558;14.768.234;3615893.2;20.733.333;1744;87;-1;G1
nucleus;70;2249597;15.450.529;213212;14.643.681;3476946.2;23.880.125;1456;87;-1;G1
nucleus;176;1378247;82.827.344;185647;1.115.667;2636021;15.841.472;1664;230;-1;G1
nucleus;177;1684319;64.582.782;2634261;10.100.694;2958221;11.342.872;2608;230;-1;G2
nucleus;213;2346254;87.286.237;6184617;23.008.247;6853548;25.496.831;2688;281;-1;G2
nucleus;214;1660993;93.524.384;213382;12.014.752;3890639;2.190.675;1776;281;-1;G1
nucleus;263;1592089;1.047.427;190153;12.510.065;3060890;20.137.434;1520;344;-1;G1
nucleus;264;1911321;72.839.978;302894;11.543.217;3428087;13.064.355;2624;344;-1;G1
nucleus;265;1654811;99.447.778;208581;12.534.916;3372818;20.269.338;1664;345;-1;G1
nucleus;266;1611663;93.267.535;218936;12.669.907;3321933;19.224.149;1728;345;-1;G1
nucleus;300;6628288;19.727.047;4829084;14.372.274;7778017;2.314.886;3360;399;-1;S
nucleus;301;4798875;29.404.871;2655428;16.271.005;4077931;24.987.322;1632;399;-1;S
nucleus;303;1081780;12.405.734;114349;13.113.417;2852862;32.716.306;872;401;-1;G1
nucleus;304;933507;11.328.969;106275.99;12.897.572;2514203;30.512.173;824;401;-1;G1
nucleus;331;1407255;14.345.107;136766;13.941.489;3141171;32.020.093;981;438;-1;G1
nucleus;332;1399246;17.600.579;115445;14.521.384;2673363;33.627.207;795;438;-1;G1
nucleus;359;3262899;10.905.411;1273287;42.556.384;4786487;15.997.617;2992;476;-1;S
nucleus;360;2718451.8;11.479.949;1030675.1;43.525.128;4155126;17.546.985;2368;476;-1;S
nucleus;361;1790850;1.776.637;144192;14.304.762;2833365;28.108.779;1008;476;-1;G1
nucleus;370;4022933;15.616.976;2672798;10.375.769;5585649;2.168.342;2576;496;-1;S
nucleus;371;3800427;16.494.908;2011748;87.315.454;4955885;21.509.917;2304;496;-1;S
nucleus;373;3676992;21.095.767;2468375;14.161.647;5606726;32.167.102;1743;500;-1;S
nucleus;374;1780196;2022.95;1202475;13.664.489;3201727;36.383.262;880;500;-1;S
nucleus;375;1100993;20.812.722;702834;13.286.086;1685601;31.863.914;529;500;-1;G2
nucleus;393;4203884;12.631.863;2734015;82.151.892;4690419;14.093.807;3328;531;-1;S
nucleus;394;2038619.9;60.673.212;787694;23.443.274;4268336;12.703.381;3360;531;-1;S
nucleus;426;2323848;15.129.219;722105;47.012.045;2481705;16.156.934;1536;577;-1;S
nucleus;427;1794969;17.259.318;561828;54.021.924;1932576;18.582.461;1040;577;-1;S
nucleus;442;2004637;20.881.636;3013103;31.386.489;3075686;32.038.396;960;597;-1;S
nucleus;443;1602318;26.353.914;2226387;36.618.208;2247157;36.959.819;608;597;-1;G2
nucleus;476;1358232;1.248.375;164591;15.127.849;2949783;27.111.975;1088;639;-1;G1
nucleus;477;1137750;45.877.017;3622712;1.460.771;5462728;22.027.129;2480;639;-1;G2
nucleus;515;442075.03;52.131.488;2290929;27.015.671;1490418;17.575.684;848;686;-1;G2
nucleus;516;1203112;63.724.152;7150424;37.873.008;4967830;26.312.659;1888;686;-1;G2
nucleus;518;1706825;59.264.758;5771522;20.040.007;6356740;22.072.014;2880;689;-1;G2
nucleus;519;1609920;88.263.159;219999;12.061.349;3948736;21.648.772;1824;689;-1;G1
nucleus;538;2429525;60.017.908;6589382;16.278.118;7667162;18.940.618;4048;716;-1;G2
nucleus;539;2581877;84.930.164;6496504;21.370.078;7318921.5;2407.54.00;3040;716;-1;S
nucleus;543;4450962;15.805.973;942667;33.475.391;3117481;11.070.601;2816;720;-1;G1
nucleus;544;1639659;79.440.845;258405;12.519.622;3081194;14.928.265;2064;720;-1;G1
nucleus;547;1422590;11.140.094;371878;29.121.222;2061718;16.145.012;1277;723;-1;G1
nucleus;548;737292;10.428.458;196827;27.839.746;951815;13.462.729;707;723;-1;G1
nucleus;549;2071839;72.340.747;6255994;21.843.555;5903649.5;20.613.301;2864;724;-1;G2
nucleus;550;1022612;49.932.227;253449;12.375.439;3315052;16.186.777;2048;724;-1;G1
nucleus;552;3195322;13.868.585;289506;12.565.365;2518876;10.932.622;2304;726;-1;G1
nucleus;553;5230765;16.939.006;390842;12.656.801;5179430;16.772.766;3088;726;-1;G1
nucleus;554;2735273;17.830.984;194822;12.700.261;3870498;25.231.409;1534;727;-1;G1
nucleus;555;3345856;18.007.837;228689;12.308.342;4324531;23.275.193;1858;727;-1;G1
nucleus;556;1774788;11.318.801;175132;11.169.133;4329859;27.613.896;1568;728;-1;G1
nucleus;557;1632013;12.592.693;147274;11.363.734;4330151;3.341.166;1296;728;-1;G1
